epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,10575.9,0.16079,0.0975,0.21368,0.91372,0.92475,0.8762,0.92788,0.82054,0.92363,0.87513,0.92915,0.84455,0.52066,0.46561,0.90009,0.99841,0.00949051,0.00949051,0.00949051
104,10678.6,0.16357,0.09651,0.14186,0.91367,0.96568,0.90081,0.95878,0.82702,0.95997,0.90288,0.96144,0.84407,0.53171,0.42423,0.74363,0.9662,0.00948551,0.00948551,0.00948551
105,10781.1,0.16031,0.10039,0.14002,0.90878,0.84693,0.90608,0.92007,0.76335,0.85573,0.90715,0.9252,0.80144,0.49927,0.43644,1.11532,0.91697,0.00948052,0.00948052,0.00948052
106,10883.7,0.15992,0.09651,0.13806,0.90854,0.89651,0.83351,0.92293,0.77434,0.89701,0.8459,0.92848,0.80565,0.56794,0.47471,1.3473,0.90432,0.00947553,0.00947553,0.00947553
107,10986.1,0.15598,0.09064,0.13794,0.91055,0.89776,0.89962,0.94354,0.85279,0.90196,0.90328,0.9511,0.8824,0.43164,0.47788,0.79672,0.83482,0.00947053,0.00947053,0.00947053
108,11088.8,0.16736,0.09423,0.14153,0.91288,0.91385,0.88302,0.9473,0.86248,0.91025,0.88687,0.95267,0.88711,0.41466,0.46637,0.7431,0.82525,0.00946554,0.00946554,0.00946554
109,11191.7,0.16446,0.09687,0.16509,0.90825,0.95585,0.87803,0.95396,0.87123,0.95055,0.91249,0.96491,0.89123,0.45219,0.45806,0.59934,0.8335,0.00946054,0.00946054,0.00946054
110,11294,0.16537,0.09823,0.14437,0.91402,0.95938,0.90737,0.95862,0.88761,0.96792,0.91889,0.96646,0.9069,0.42794,0.47859,0.48904,0.79158,0.00945554,0.00945554,0.00945554
111,11396.5,0.16227,0.10471,0.14709,0.90942,0.87897,0.8794,0.93837,0.8358,0.87834,0.89114,0.94453,0.8583,0.50567,0.459,0.69312,0.90164,0.00945055,0.00945055,0.00945055
112,11498.8,0.15926,0.09819,0.14009,0.90754,0.86797,0.90508,0.94218,0.85128,0.8833,0.9128,0.94994,0.87721,0.46921,0.44906,0.65535,0.90836,0.00944555,0.00944555,0.00944555
113,11601.1,0.16725,0.09203,0.14272,0.91016,0.95667,0.88687,0.9544,0.86398,0.94772,0.89328,0.95786,0.89738,0.47462,0.41994,0.64052,0.96889,0.00944056,0.00944056,0.00944056
114,11703.6,0.15867,0.09703,0.13336,0.91273,0.88235,0.8666,0.93491,0.84219,0.89127,0.86553,0.94163,0.87005,0.47784,0.49297,0.81881,0.96528,0.00943556,0.00943556,0.00943556
115,11806.6,0.16025,0.09267,0.13795,0.90784,0.90083,0.87254,0.94601,0.84714,0.90893,0.8762,0.95163,0.87087,0.48777,0.45855,0.70221,0.91049,0.00943057,0.00943057,0.00943057
116,11909.1,0.16126,0.0932,0.13548,0.90857,0.92449,0.90162,0.94936,0.85798,0.93534,0.91088,0.95761,0.86936,0.45324,0.62854,0.69143,0.94081,0.00942558,0.00942558,0.00942558
117,12011.2,0.15491,0.09092,0.168,0.90202,0.92175,0.92209,0.9577,0.87772,0.92025,0.92359,0.96086,0.90372,0.41406,0.51744,0.48571,0.86399,0.00942058,0.00942058,0.00942058
118,12113.6,0.15636,0.09788,0.13265,0.90799,0.94444,0.92209,0.95955,0.88889,0.94932,0.92316,0.9639,0.91042,0.39112,0.43884,0.52192,0.79904,0.00941559,0.00941559,0.00941559
119,12215.9,0.15698,0.09355,0.13366,0.90748,0.87467,0.88637,0.9394,0.84683,0.88399,0.88474,0.94717,0.86597,0.46156,0.49469,0.90384,0.86921,0.00941059,0.00941059,0.00941059
120,12318.2,0.1589,0.09465,0.13324,0.90746,0.85355,0.89572,0.93648,0.84241,0.87343,0.91996,0.95139,0.86248,0.47334,0.52882,0.71574,0.91569,0.0094056,0.0094056,0.0094056
121,12420.8,0.15546,0.09049,0.13404,0.90777,0.93775,0.93244,0.96001,0.88837,0.93039,0.94152,0.96374,0.90504,0.39958,0.44348,0.54126,0.81451,0.0094006,0.0094006,0.0094006
122,12523.1,0.16112,0.09115,0.13817,0.9053,0.92761,0.92993,0.96132,0.88677,0.92692,0.93276,0.96468,0.90358,0.44479,0.46066,0.55044,0.89173,0.0093956,0.0093956,0.0093956
123,12625.6,0.15499,0.09059,0.13069,0.90822,0.94149,0.92316,0.9606,0.88052,0.94697,0.91477,0.96068,0.90352,0.45841,0.44622,0.57037,0.91224,0.00939061,0.00939061,0.00939061
